DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/28/2016,19:13,BROOKLYN,11207,40.65114,-73.89,"(40.65114, -73.89)",LOUISIANA AVENUE                ,FLATLANDS AVENUE,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3588549,SPORT UTILITY / STATION WAGON,,,,
01/01/2017,2:15,QUEENS,11434,40.6667525,-73.7799356,"(40.6667525, -73.7799356)",SOUTH CONDUIT AVENUE            ,ROCKAWAY BOULEVARD,,0,1,0,1,0,0,0,0,Unsafe Speed,,,,,3590027,PASSENGER VEHICLE,,,,
01/03/2017,6:46,BROOKLYN,11229,40.616045,-73.9448294,"(40.616045, -73.9448294)",NOSTRAND AVENUE                 ,KINGS HIGHWAY,,0,1,0,1,0,0,0,0,Unspecified,Unspecified,,,,3591307,SPORT UTILITY / STATION WAGON,,,,
01/10/2017,21:23,BROOKLYN,11235,40.5911027,-73.9651429,"(40.5911027, -73.9651429)",OCEAN PARKWAY                   ,AVENUE X,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3595905,PASSENGER VEHICLE,,,,
01/18/2017,20:25,BROOKLYN,11226,40.65153,-73.96303,"(40.65153, -73.96303)",CATON AVENUE                    ,SAINT PAULS PLACE,,0,1,0,1,0,0,0,0,Unspecified,,,,,3601146,,,,,
01/18/2017,19:26,QUEENS,11372,40.74916,-73.88991,"(40.74916, -73.88991)",37 AVENUE                       ,76 STREET,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3600493,SPORT UTILITY / STATION WAGON,,,,
01/19/2017,10:46,BROOKLYN,11229,40.594646,-73.956566,"(40.594646, -73.956566)",EAST 14 STREET                  ,GRAVESEND NECK ROAD,,0,1,0,1,0,0,0,0,Glare,,,,,3600993,SPORT UTILITY / STATION WAGON,,,,
01/23/2017,9:45,,,40.60518,-73.98018,"(40.60518, -73.98018)",WEST 7 STREET                   ,,,0,1,0,0,0,0,0,1,Unspecified,Unspecified,,,,3602913,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/23/2017,17:43,MANHATTAN,10034,40.864605,-73.92325,"(40.864605, -73.92325)",,,150       SHERMAN AVENUE                ,0,1,0,1,0,0,0,0,Unspecified,,,,,3603741,SPORT UTILITY / STATION WAGON,,,,
01/24/2017,10:17,,,40.75332,-73.972595,"(40.75332, -73.972595)",3 AVENUE                        ,,,0,1,0,0,0,0,0,1,Illness,Unspecified,,,,3603540,SPORT UTILITY / STATION WAGON,,,,
01/30/2017,12:07,,,40.576828,-73.9651,"(40.576828, -73.9651)",BRIGHTON BEACH AVENUE           ,,,2,1,2,1,0,0,0,0,Driver Inattention/Distraction,,,,,3606958,PASSENGER VEHICLE,,,,
02/04/2017,4:20,,,40.748203,-73.84962,"(40.748203, -73.84962)",,,,1,1,0,1,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3609495,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/06/2017,16:08,STATEN ISLAND,10309,40.546207,-74.21177,"(40.546207, -74.21177)",GERVIL STREET                   ,CORRELL AVENUE,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3610970,PICK-UP TRUCK,,,,
02/07/2017,4:53,,,40.872322,-73.90659,"(40.872322, -73.90659)",,,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3611283,PASSENGER VEHICLE,,,,
02/11/2017,12:12,QUEENS,11101,40.737263,-73.940025,"(40.737263, -73.940025)",,,30-03     REVIEW AVENUE                 ,0,1,0,1,0,0,0,0,Driverless/Runaway Vehicle,Unspecified,,,,3624139,SPORT UTILITY / STATION WAGON,,,,
02/15/2017,15:20,BROOKLYN,11236,40.634033,-73.88933,"(40.634033, -73.88933)",,,9714      SEAVIEW AVENUE                ,0,1,0,0,0,0,0,1,Lost Consciousness,Unspecified,,,,3616636,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/18/2017,16:14,,,40.82081,-73.81236,"(40.82081, -73.81236)",THROGS NECK EXPRESSWAY          ,,,0,1,0,0,0,0,0,1,Unsafe Speed,,,,,3625512,MOTORCYCLE,,,,
02/24/2017,5:57,MANHATTAN,10025,40.793377,-73.97086,"(40.793377, -73.97086)",AMSTERDAM AVENUE                ,WEST 95 STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3621114,,,,,
02/25/2017,4:49,BROOKLYN,11206,40.707653,-73.93984,"(40.707653, -73.93984)",BUSHWICK AVENUE                 ,MONTROSE AVENUE,,0,1,0,0,0,0,0,1,Unsafe Speed,Unspecified,,,,3624386,MOTORCYCLE,,,,
02/27/2017,16:00,BROOKLYN,11234,40.60981,-73.92251,"(40.60981, -73.92251)",FLATBUSH AVENUE                 ,AVENUE U,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3623635,SPORT UTILITY / STATION WAGON,,,,
03/01/2017,16:45,QUEENS,11106,40.758125,-73.928505,"(40.758125, -73.928505)",35 AVENUE                       ,31 STREET,,2,1,0,0,0,0,2,1,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,,3624204,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
03/03/2017,17:30,QUEENS,11355,40.751835,-73.82427,"(40.751835, -73.82427)",COLDEN STREET                   ,ELDER AVENUE,,0,1,0,0,0,1,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3626043,BICYCLE,,,,
03/07/2017,9:06,BRONX,10458,40.85819,-73.88435,"(40.85819, -73.88435)",EAST FORDHAM ROAD               ,HUGHES AVENUE,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3628395,SPORT UTILITY / STATION WAGON,,,,
03/07/2017,6:05,,,40.726852,-73.93413,"(40.726852, -73.93413)",MEEKER AVENUE                   ,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3627397,SPORT UTILITY / STATION WAGON,,,,
03/07/2017,18:41,,,40.714462,-73.98166,"(40.714462, -73.98166)",GRAND STREET                    ,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3628393,TAXI,,,,
03/07/2017,18:20,BROOKLYN,11229,40.598476,-73.93141,"(40.598476, -73.93141)",GERRITSEN AVENUE                ,WHITNEY AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,3628396,PICK-UP TRUCK,,,,
03/09/2017,14:59,,,40.750885,-73.81942,"(40.750885, -73.81942)",KISSENA BOULEVARD               ,HOLLY AVENUE,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3631860,,,,,
03/12/2017,4:10,QUEENS,11421,40.685963,-73.85654,"(40.685963, -73.85654)",ATLANTIC AVENUE                 ,85 STREET,,0,1,0,0,0,0,0,1,Unsafe Speed,Unspecified,Unspecified,,,3630562,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
03/15/2017,3:12,,,40.714314,-73.97481,"(40.714314, -73.97481)",,,,2,1,0,0,0,0,2,1,Unsafe Speed,,,,,3632869,PASSENGER VEHICLE,,,,
03/16/2017,19:08,BRONX,10472,40.82842,-73.86068,"(40.82842, -73.86068)",WHITE PLAINS ROAD               ,WATSON AVENUE,,2,1,2,1,0,0,0,0,Drugs (Illegal),Unspecified,Unspecified,Unspecified,Unspecified,3633364,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
03/16/2017,15:31,BROOKLYN,11233,40.676342,-73.910934,"(40.676342, -73.910934)",ATLANTIC AVENUE                 ,ROCKAWAY AVENUE,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3633353,,,,,
03/19/2017,22:15,BRONX,10463,40.8827,-73.89273,"(40.8827, -73.89273)",SEDGWICK AVENUE                 ,VANCORTLANDT AVENUE WEST,,0,1,0,1,0,0,0,0,Unspecified,,,,,3635027,PASSENGER VEHICLE,,,,
03/20/2017,5:06,,,40.892235,-73.88481,"(40.892235, -73.88481)",,,,0,1,0,1,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3635792,PASSENGER VEHICLE,,,,
03/23/2017,23:04,,,40.83863,-73.93348,"(40.83863, -73.93348)",,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3638391,SPORT UTILITY / STATION WAGON,,,,
03/23/2017,20:45,QUEENS,11369,40.76813,-73.87625,"(40.76813, -73.87625)",23 AVENUE                       ,94 STREET,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3638230,PICK-UP TRUCK,,,,
03/23/2017,11:58,,,40.8047,-73.91243,"(40.8047, -73.91243)",BRUCKNER BOULEVARD              ,EAST 138 STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3637867,,,,,
03/27/2017,2:05,,,40.84603,-73.93034,"(40.84603, -73.93034)",,,,2,1,0,0,0,0,2,1,Alcohol Involvement,Unspecified,,,,3640357,PASSENGER VEHICLE,,,,
04/01/2017,2:53,QUEENS,11104,40.74576,-73.92581,"(40.74576, -73.92581)",39 STREET                       ,43 AVENUE,,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3642997,BICYCLE,SPORT UTILITY / STATION WAGON,,,
04/03/2017,4:11,,,40.725243,-73.933914,"(40.725243, -73.933914)",,,,0,1,0,0,0,0,0,1,Pavement Defective,Unspecified,,,,3644287,SPORT UTILITY / STATION WAGON,MOTORCYCLE,,,
04/05/2017,7:19,MANHATTAN,10009,40.728195,-73.984886,"(40.728195, -73.984886)",1 AVENUE                        ,EAST 9 STREET,,0,1,0,0,0,1,0,0,Passing or Lane Usage Improper,Unspecified,,,,3645566,BICYCLE,,,,
04/05/2017,19:04,BROOKLYN,11228,40.615788,-74.01214,"(40.615788, -74.01214)",13 AVENUE                       ,83 STREET,,0,1,0,1,0,0,0,0,Unspecified,Unspecified,,,,3645850,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/08/2017,20:35,BROOKLYN,11212,40.67066,-73.904205,"(40.67066, -73.904205)",POWELL STREET                   ,PITKIN AVENUE,,7,1,0,0,0,0,7,1,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3648680,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
04/09/2017,14:00,STATEN ISLAND,10301,40.611286,-74.108734,"(40.611286, -74.108734)",LITTLE CLOVE ROAD               ,NORTHERN BOULEVARD,,5,1,0,0,0,0,5,1,Driver Inattention/Distraction,Unspecified,,,,3649309,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2017,15:00,BROOKLYN,11237,40.714176,-73.92774,"(40.714176, -73.92774)",,,1233      METROPOLITAN AVENUE           ,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3648869,,,,,
04/11/2017,10:40,,,40.709694,-73.79352,"(40.709694, -73.79352)",168 PLACE                       ,,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3649733,SPORT UTILITY / STATION WAGON,,,,
04/13/2017,3:02,BRONX,10465,40.87831,-73.870155,"(40.87831, -73.870155)",BRONX RIVER PARKWAY             ,EAST GUN HILL ROAD,,1,1,0,0,0,0,1,1,Driver Inattention/Distraction,,,,,3650467,PASSENGER VEHICLE,,,,
04/14/2017,15:20,MANHATTAN,10037,40.818516,-73.93765,"(40.818516, -73.93765)",WEST 142 STREET                 ,LENOX AVENUE,,0,1,0,0,0,0,0,1,Driver Inexperience,Unspecified,Unspecified,Unspecified,,3651191,PASSENGER VEHICLE,MOTORCYCLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
04/16/2017,4:27,,,40.72048,-73.780106,"(40.72048, -73.780106)",,,,0,1,0,0,0,0,0,1,Unsafe Speed,,,,,3652951,PASSENGER VEHICLE,,,,
04/18/2017,6:59,,,40.798256,-73.82744,"(40.798256, -73.82744)",,,,1,1,0,0,0,0,1,1,Lost Consciousness,Unspecified,Unspecified,,,3652953,PICK-UP TRUCK,PASSENGER VEHICLE,PICK-UP TRUCK,,
04/20/2017,16:42,,,40.7011,-73.84157,"(40.7011, -73.84157)",PARK LANE SOUTH                 ,,,0,1,0,0,0,0,0,1,Illness,Unspecified,,,,3661654,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/22/2017,21:30,MANHATTAN,10075,40.77071,-73.95094,"(40.77071, -73.95094)",YORK AVENUE                     ,EAST 78 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,3655374,TAXI,,,,
04/23/2017,4:05,,,40.674953,-73.80205,"(40.674953, -73.80205)",,,,3,1,0,0,0,0,3,1,Unsafe Speed,Unspecified,,,,3655558,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/23/2017,21:35,BRONX,10459,40.820305,-73.89083,"(40.820305, -73.89083)",BRUCKNER BOULEVARD              ,HUNTS POINT AVENUE,,0,1,0,1,0,0,0,0,,,,,,3655948,MOTORCYCLE,,,,
04/24/2017,23:08,BRONX,10460,40.845985,-73.884476,"(40.845985, -73.884476)",EAST 180 STREET                 ,SOUTHERN BOULEVARD,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,3659156,PICK-UP TRUCK,BICYCLE,,,
04/29/2017,2:08,,,40.84211,-73.82557,"(40.84211, -73.82557)",,,,0,1,0,0,0,0,0,1,Unsafe Speed,Driver Inattention/Distraction,,,,3659316,MOTORCYCLE,PASSENGER VEHICLE,,,
04/29/2017,19:28,STATEN ISLAND,10301,40.620686,-74.11002,"(40.620686, -74.11002)",CLOVE ROAD                      ,BARD AVENUE,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,,,,3661817,PASSENGER VEHICLE,MOTORCYCLE,,,
04/29/2017,17:28,,,40.8305,-73.861626,"(40.8305, -73.861626)",WHITE PLAINS ROAD               ,,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3661831,,,,,
04/29/2017,10:02,BRONX,10454,40.806164,-73.909134,"(40.806164, -73.909134)",BRUCKNER BOULEVARD              ,EAST 141 STREET,,3,1,0,0,0,0,3,1,Unspecified,Unspecified,,,,3659456,PASSENGER VEHICLE,,,,
05/04/2017,18:00,MANHATTAN,10003,40.738785,-73.98887,"(40.738785, -73.98887)",,,30        EAST 20 STREET                ,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3663662,BICYCLE,TAXI,PASSENGER VEHICLE,,
05/07/2017,12:45,QUEENS,11414,40.6575,-73.839455,"(40.6575, -73.839455)",CROSS BAY BOULEVARD             ,160 AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3665586,SPORT UTILITY / STATION WAGON,,,,
05/11/2017,1:18,,,40.711567,-74.01579,"(40.711567, -74.01579)",SOUTH END AVENUE                ,,,0,1,0,0,0,0,0,1,Unspecified,,,,,3667658,TAXI,,,,
05/16/2017,23:40,MANHATTAN,10011,40.733612,-73.999565,"(40.733612, -73.999565)",AVENUE OF THE AMERICAS          ,GREENWICH AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,3671101,,,,,
05/17/2017,18:08,QUEENS,11369,40.764072,-73.86705,"(40.764072, -73.86705)",GILLMORE STREET                 ,27 AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Unspecified,,,3685146,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,
05/18/2017,11:54,MANHATTAN,10036,40.756035,-73.98695,"(40.756035, -73.98695)",7 AVENUE                        ,WEST 42 STREET,,27,1,28,1,0,0,0,0,Drugs (Illegal),,,,,3673559,PASSENGER VEHICLE,,,,
05/21/2017,4:44,,,40.707153,-73.8189,"(40.707153, -73.8189)",,,,0,1,0,0,0,0,0,1,Unsafe Speed,Unspecified,,,,3676156,MOTORCYCLE,SPORT UTILITY / STATION WAGON,,,
05/22/2017,22:00,,,40.762062,-73.983635,"(40.762062, -73.983635)",WEST 51 STREET                  ,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3675996,,,,,
05/27/2017,2:31,,,40.70313,-73.816795,"(40.70313, -73.816795)",,,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,3678748,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
05/28/2017,2:29,,,40.832012,-73.85621,"(40.832012, -73.85621)",,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3685764,,,,,
05/29/2017,20:34,,,40.754208,-73.812225,"(40.754208, -73.812225)",46 AVENUE                       ,,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3680418,SPORT UTILITY / STATION WAGON,,,,
06/03/2017,13:45,STATEN ISLAND,10306,40.57104,-74.10919,"(40.57104, -74.10919)",HYLAN BOULEVARD                 ,JACQUES AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,3686538,PASSENGER VEHICLE,,,,
06/08/2017,16:54,BRONX,10457,40.848,-73.89243,"(40.848, -73.89243)",ARTHUR AVENUE                   ,EAST 179 STREET,,0,1,0,0,0,0,0,1,Unspecified,Unspecified,,,,3692554,SPORT UTILITY / STATION WAGON,MOTORCYCLE,,,
06/10/2017,16:57,,,40.631924,-74.016495,"(40.631924, -74.016495)",,,,2,1,0,0,0,0,2,1,Unsafe Speed,Unsafe Speed,Unspecified,,,3691123,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/11/2017,2:02,STATEN ISLAND,10307,40.513874,-74.23668,"(40.513874, -74.23668)",AMBOY ROAD                      ,HECKER STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,3688361,PASSENGER VEHICLE,,,,
06/12/2017,8:15,,,40.747204,-73.99711,"(40.747204, -73.99711)",WEST 26 STREET                  ,,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,,,,3690274,BICYCLE,,,,
06/12/2017,22:24,BRONX,10451,40.813374,-73.93058,"(40.813374, -73.93058)",EAST 138 STREET                 ,WALTON AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3690419,PASSENGER VEHICLE,,,,
06/17/2017,13:36,MANHATTAN,10001,40.747852,-73.99291,"(40.747852, -73.99291)",7 AVENUE                        ,WEST 29 STREET,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Failure to Yield Right-of-Way,,,,3692425,BICYCLE,,,,
06/19/2017,3:35,BROOKLYN,11236,40.635506,-73.913284,"(40.635506, -73.913284)",FLATLANDS AVENUE                ,EAST 80 STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3694280,,,,,
06/21/2017,20:37,BROOKLYN,11234,40.632965,-73.92643,"(40.632965, -73.92643)",EAST 52 STREET                  ,AVENUE H,,0,1,0,0,0,0,0,1,View Obstructed/Limited,Driver Inattention/Distraction,,,,3696154,PASSENGER VEHICLE,MOTORCYCLE,,,
06/24/2017,5:55,QUEENS,11101,40.746033,-73.93441,"(40.746033, -73.93441)",QUEENS BOULEVARD                ,SKILLMAN AVENUE,,1,1,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,,,,3697906,PASSENGER VEHICLE,,,,
06/24/2017,17:00,,,40.65114,-73.89,"(40.65114, -73.89)",FLATLANDS AVENUE                ,,,2,1,0,0,0,0,2,1,Unsafe Speed,Unspecified,Unspecified,,,3699032,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/26/2017,6:45,,,40.716194,-73.996086,"(40.716194, -73.996086)",BOWERY                          ,CANAL STREET,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3699681,BICYCLE,TAXI,,,
06/29/2017,3:32,,,40.71427,-73.974945,"(40.71427, -73.974945)",,,,0,1,0,0,0,0,0,1,Driver Inexperience,Unspecified,,,,3701440,MOTORCYCLE,SPORT UTILITY / STATION WAGON,,,
06/29/2017,0:07,MANHATTAN,10019,40.767815,-73.98951,"(40.767815, -73.98951)",10 AVENUE                       ,WEST 55 STREET,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3701413,BICYCLE,,,,
06/30/2017,3:28,BROOKLYN,11221,40.694305,-73.91852,"(40.694305, -73.91852)",CENTRAL AVENUE                  ,LINDEN STREET,,0,1,0,0,0,1,0,0,Traffic Control Disregarded,Unspecified,,,,3702495,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/01/2017,14:59,QUEENS,11374,40.73011,-73.86509,"(40.73011, -73.86509)",SAUNDERS STREET                 ,63 AVENUE,,0,1,0,1,0,0,0,0,Traffic Control Disregarded,,,,,3702911,SPORT UTILITY / STATION WAGON,,,,
07/02/2017,21:18,BRONX,10459,40.828617,-73.89111,"(40.828617, -73.89111)",,,967       HOME STREET                   ,0,1,0,0,0,0,0,1,Illness,Unspecified,,,,3704068,PASSENGER VEHICLE,TAXI,,,
07/02/2017,21:00,MANHATTAN,10003,40.727715,-73.99118,"(40.727715, -73.99118)",COOPER SQUARE                   ,EAST 5 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,3703411,SPORT UTILITY / STATION WAGON,,,,
07/03/2017,8:55,,,40.81328,-73.89749,"(40.81328, -73.89749)",,,,0,1,0,0,0,0,0,1,Driver Inexperience,Unspecified,,,,3704133,MOTORCYCLE,,,,
07/07/2017,22:51,,,40.721523,-73.941795,"(40.721523, -73.941795)",,,,0,1,0,0,0,0,0,1,Illness,,,,,3706826,SPORT UTILITY / STATION WAGON,,,,
07/07/2017,14:37,QUEENS,11428,40.71772,-73.737915,"(40.71772, -73.737915)",JAMAICA AVENUE                  ,217 STREET,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3706979,,,,,
07/08/2017,14:51,,,40.661568,-73.95073,"(40.661568, -73.95073)",NOSTRAND AVENUE                 ,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3706978,,,,,
