DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/18/2017,17:20,,,40.76113,-73.85851,"(40.76113, -73.85851)",,,,1,1,1,0,0,0,0,1,Driver Inattention/Distraction,,,,,3762112,MOTORCYCLE,,,,
09/16/2017,22:30,,,40.605568,-74.03118,"(40.605568, -74.03118)",,,,4,1,0,0,0,0,4,1,Driver Inattention/Distraction,Unspecified,Unspecified,,,3755127,SPORT UTILITY / STATION WAGON,TAXI,PASSENGER VEHICLE,,
09/14/2017,17:45,MANHATTAN,10013,40.718628,-74.00255,"(40.718628, -74.00255)",WALKER STREET                   ,BROADWAY,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,,,,3749952,BICYCLE,,,,
09/13/2017,16:00,,,40.75585,-73.88259,"(40.75585, -73.88259)",NORTHERN BOULEVARD              ,,,0,1,0,1,0,0,0,0,Unspecified,Unspecified,,,,3749192,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/13/2017,5:10,,,40.768486,-73.96362,"(40.768486, -73.96362)",LEXINGTON AVENUE                ,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3749477,PASSENGER VEHICLE,,,,
09/12/2017,7:12,,,40.862614,-73.890114,"(40.862614, -73.890114)",WEBSTER AVENUE                  ,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3748240,,,,,
09/10/2017,5:01,,,40.742657,-73.846214,"(40.742657, -73.846214)",,,,1,1,0,0,0,0,1,1,Unsafe Speed,Unspecified,Unspecified,,,3747800,MOTORCYCLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
09/04/2017,20:03,,,40.84482,-73.837,"(40.84482, -73.837)",,,,0,1,0,1,0,0,0,0,,,,,,3743081,,,,,
09/03/2017,3:45,BROOKLYN,11213,40.669098,-73.93666,"(40.669098, -73.93666)",EASTERN PARKWAY                 ,TROY AVENUE,,1,1,0,1,0,0,1,0,Alcohol Involvement,,,,,3744710,PASSENGER VEHICLE,,,,
09/01/2017,18:17,BROOKLYN,11223,40.607258,-73.96727,"(40.607258, -73.96727)",QUENTIN ROAD                    ,OCEAN PARKWAY,,0,1,0,0,0,1,0,0,Unsafe Speed,Traffic Control Disregarded,,,,3742517,PASSENGER VEHICLE,BICYCLE,,,
